bin,bin_order,bin_label_en,bin_label_es,side,horizon,spec,fe_name,nobs,estimate,se,p,pct,ci_low,ci_high,stars
-15_10,1,≤10 °C,≤10 °C,cold,22,5,(5) agem^year^month + weekday,2643528,-0.149743,0.0162249,2.73e-20,-14.9743,-18.1544,-11.7942,***
-15_10,1,≤10 °C,≤10 °C,cold,22,6,(6) agem^weekday + agem^year^month,2642643,-0.149432,0.0162429,3.59e-20,-14.9432,-18.1268,-11.7596,***
-15_10,1,≤10 °C,≤10 °C,cold,22,7,(7) agem^year^month + date,2643528,0.0150621,0.0221918,0.497,1.50621,-2.84339,5.8558,
-15_10,1,≤10 °C,≤10 °C,cold,23,1,(1) agem + date,2761626,-0.0324874,0.0269241,0.228,-3.24874,-8.52587,2.02839,
-15_10,1,≤10 °C,≤10 °C,cold,23,2,(2) agem^yday + agem^year + date,2738859,-0.0268572,0.0333177,0.42,-2.68572,-9.21598,3.84454,
-15_10,1,≤10 °C,≤10 °C,cold,23,3,(3) agem^week + state^year + weekday,2748411,-0.206252,0.0322862,1.68e-10,-20.6252,-26.9533,-14.2971,***
-15_10,1,≤10 °C,≤10 °C,cold,23,4,(4) agem + state^year + yday + weekday,2761626,-0.0830209,0.019422,1.91e-5,-8.30209,-12.1088,-4.49538,***
-15_10,1,≤10 °C,≤10 °C,cold,23,5,(5) agem^year^month + weekday,2643528,-0.155206,0.0169862,6.41e-20,-15.5206,-18.8499,-12.1913,***
-15_10,1,≤10 °C,≤10 °C,cold,23,6,(6) agem^weekday + agem^year^month,2642643,-0.155136,0.0169939,6.92e-20,-15.5136,-18.8444,-12.1828,***
-15_10,1,≤10 °C,≤10 °C,cold,23,7,(7) agem^year^month + date,2643528,0.0127372,0.0238797,0.594,1.27372,-3.40669,5.95414,
-15_10,1,≤10 °C,≤10 °C,cold,24,1,(1) agem + date,2761626,-0.0259366,0.0280748,0.356,-2.59366,-8.09633,2.90901,
-15_10,1,≤10 °C,≤10 °C,cold,24,2,(2) agem^yday + agem^year + date,2738859,-0.0221287,0.0337677,0.512,-2.21287,-8.83134,4.40561,
-15_10,1,≤10 °C,≤10 °C,cold,24,3,(3) agem^week + state^year + weekday,2748411,-0.198961,0.0338991,4.38e-9,-19.8961,-26.5403,-13.2519,***
-15_10,1,≤10 °C,≤10 °C,cold,24,4,(4) agem + state^year + yday + weekday,2761626,-0.0720304,0.0196385,2.45e-4,-7.20304,-11.0522,-3.35388,***
-15_10,1,≤10 °C,≤10 °C,cold,24,5,(5) agem^year^month + weekday,2643528,-0.148308,0.0162524,7.15e-20,-14.8308,-18.0163,-11.6454,***
-15_10,1,≤10 °C,≤10 °C,cold,24,6,(6) agem^weekday + agem^year^month,2642643,-0.149254,0.0163211,5.97e-20,-14.9254,-18.1243,-11.7264,***
-15_10,1,≤10 °C,≤10 °C,cold,24,7,(7) agem^year^month + date,2643528,0.0194079,0.0235182,0.409,1.94079,-2.66878,6.55035,
-15_10,1,≤10 °C,≤10 °C,cold,25,1,(1) agem + date,2761626,-0.0270324,0.0288706,0.349,-2.70324,-8.36188,2.95539,
-15_10,1,≤10 °C,≤10 °C,cold,25,2,(2) agem^yday + agem^year + date,2738859,-0.0228955,0.0342216,0.503,-2.28955,-8.99698,4.41789,
-15_10,1,≤10 °C,≤10 °C,cold,25,3,(3) agem^week + state^year + weekday,2748411,-0.201245,0.0351998,1.08e-8,-20.1245,-27.0237,-13.2254,***
-15_10,1,≤10 °C,≤10 °C,cold,25,4,(4) agem + state^year + yday + weekday,2761626,-0.0697754,0.0203366,6.01e-4,-6.97754,-10.9635,-2.99156,***
-15_10,1,≤10 °C,≤10 °C,cold,25,5,(5) agem^year^month + weekday,2643528,-0.1522,0.0169227,2.39e-19,-15.22,-18.5369,-11.9032,***
-15_10,1,≤10 °C,≤10 °C,cold,25,6,(6) agem^weekday + agem^year^month,2642643,-0.152819,0.0168881,1.44e-19,-15.2819,-18.592,-11.9718,***
-15_10,1,≤10 °C,≤10 °C,cold,25,7,(7) agem^year^month + date,2643528,0.0182052,0.0240001,0.448,1.82052,-2.8835,6.52453,
-15_10,1,≤10 °C,≤10 °C,cold,26,1,(1) agem + date,2761626,-0.0310718,0.030075,0.302,-3.10718,-9.00188,2.78751,
-15_10,1,≤10 °C,≤10 °C,cold,26,2,(2) agem^yday + agem^year + date,2738859,-0.0295794,0.0365547,0.418,-2.95794,-10.1227,4.20678,
-15_10,1,≤10 °C,≤10 °C,cold,26,3,(3) agem^week + state^year + weekday,2748411,-0.208286,0.0367912,1.5e-8,-20.8286,-28.0397,-13.6175,***
-15_10,1,≤10 °C,≤10 °C,cold,26,4,(4) agem + state^year + yday + weekday,2761626,-0.0710598,0.021407,9.02e-4,-7.10598,-11.3018,-2.91021,***
-15_10,1,≤10 °C,≤10 °C,cold,26,5,(5) agem^year^month + weekday,2643528,-0.161604,0.0178698,1.52e-19,-16.1604,-19.6629,-12.658,***
-15_10,1,≤10 °C,≤10 °C,cold,26,6,(6) agem^weekday + agem^year^month,2642643,-0.161929,0.0178557,1.2e-19,-16.1929,-19.6926,-12.6932,***
-15_10,1,≤10 °C,≤10 °C,cold,26,7,(7) agem^year^month + date,2643528,0.014081,0.0246421,0.568,1.4081,-3.42176,6.23796,
-15_10,1,≤10 °C,≤10 °C,cold,27,1,(1) agem + date,2761626,-0.0235376,0.0320605,0.463,-2.35376,-8.63761,3.9301,
-15_10,1,≤10 °C,≤10 °C,cold,27,2,(2) agem^yday + agem^year + date,2738859,-0.0217036,0.0380553,0.568,-2.17036,-9.62919,5.28848,
-15_10,1,≤10 °C,≤10 °C,cold,27,3,(3) agem^week + state^year + weekday,2748411,-0.208337,0.0384389,5.96e-8,-20.8337,-28.3677,-13.2997,***
-15_10,1,≤10 °C,≤10 °C,cold,27,4,(4) agem + state^year + yday + weekday,2761626,-0.064753,0.0221527,0.00347,-6.4753,-10.8172,-2.13337,***
-15_10,1,≤10 °C,≤10 °C,cold,27,5,(5) agem^year^month + weekday,2643528,-0.161267,0.0173444,1.43e-20,-16.1267,-19.5262,-12.7272,***
-15_10,1,≤10 °C,≤10 °C,cold,27,6,(6) agem^weekday + agem^year^month,2642643,-0.161974,0.0173224,8.720000000000001e-21,-16.1974,-19.5926,-12.8022,***
-15_10,1,≤10 °C,≤10 °C,cold,27,7,(7) agem^year^month + date,2643528,0.0237239,0.0248735,0.34,2.37239,-2.50282,7.24761,
-15_10,1,≤10 °C,≤10 °C,cold,28,1,(1) agem + date,2761626,-0.0255111,0.0325059,0.433,-2.55111,-8.92226,3.82004,
-15_10,1,≤10 °C,≤10 °C,cold,28,2,(2) agem^yday + agem^year + date,2738859,-0.0232746,0.0394792,0.555,-2.32746,-10.0654,5.41046,
-15_10,1,≤10 °C,≤10 °C,cold,28,3,(3) agem^week + state^year + weekday,2748411,-0.216091,0.0394394,4.28e-8,-21.6091,-29.3393,-13.879,***
-15_10,1,≤10 °C,≤10 °C,cold,28,4,(4) agem + state^year + yday + weekday,2761626,-0.0685409,0.0224793,0.0023,-6.85409,-11.26,-2.44815,***
-15_10,1,≤10 °C,≤10 °C,cold,28,5,(5) agem^year^month + weekday,2643528,-0.166883,0.0182665,6.48e-20,-16.6883,-20.2686,-13.1081,***
-15_10,1,≤10 °C,≤10 °C,cold,28,6,(6) agem^weekday + agem^year^month,2642643,-0.167792,0.0181326,2.17e-20,-16.7792,-20.3331,-13.2252,***
-15_10,1,≤10 °C,≤10 °C,cold,28,7,(7) agem^year^month + date,2643528,0.0228225,0.0254397,0.37,2.28225,-2.70394,7.26843,
-15_10,1,≤10 °C,≤10 °C,cold,29,1,(1) agem + date,2761626,-0.0315485,0.0339915,0.353,-3.15485,-9.81718,3.50747,
-15_10,1,≤10 °C,≤10 °C,cold,29,2,(2) agem^yday + agem^year + date,2738859,-0.0295034,0.0411314,0.473,-2.95034,-11.0121,5.11141,
-15_10,1,≤10 °C,≤10 °C,cold,29,3,(3) agem^week + state^year + weekday,2748411,-0.225878,0.0411506,4.04e-8,-22.5878,-30.6533,-14.5223,***
-15_10,1,≤10 °C,≤10 °C,cold,29,4,(4) agem + state^year + yday + weekday,2761626,-0.074634,0.0237295,0.00166,-7.4634,-12.1144,-2.81243,***
-15_10,1,≤10 °C,≤10 °C,cold,29,5,(5) agem^year^month + weekday,2643528,-0.172335,0.0183053,4.7500000000000005e-21,-17.2335,-20.8214,-13.6457,***
-15_10,1,≤10 °C,≤10 °C,cold,29,6,(6) agem^weekday + agem^year^month,2642643,-0.172732,0.0182305,2.67e-21,-17.2732,-20.8464,-13.7,***
-15_10,1,≤10 °C,≤10 °C,cold,29,7,(7) agem^year^month + date,2643528,0.0184628,0.0256289,0.471,1.84628,-3.17698,6.86955,
-15_10,1,≤10 °C,≤10 °C,cold,30,1,(1) agem + date,2761626,-0.025757,0.036451,0.48,-2.5757,-9.7201,4.56869,
-15_10,1,≤10 °C,≤10 °C,cold,30,2,(2) agem^yday + agem^year + date,2738859,-0.0262851,0.0427663,0.539,-2.62851,-11.0107,5.75368,
-15_10,1,≤10 °C,≤10 °C,cold,30,3,(3) agem^week + state^year + weekday,2748411,-0.222797,0.043766,3.57e-7,-22.2797,-30.8578,-13.7015,***
-15_10,1,≤10 °C,≤10 °C,cold,30,4,(4) agem + state^year + yday + weekday,2761626,-0.0605861,0.0257818,0.0188,-6.05861,-11.1118,-1.00538,**
-15_10,1,≤10 °C,≤10 °C,cold,30,5,(5) agem^year^month + weekday,2643528,-0.159689,0.0187005,1.35e-17,-15.9689,-19.6342,-12.3036,***
-15_10,1,≤10 °C,≤10 °C,cold,30,6,(6) agem^weekday + agem^year^month,2642643,-0.160416,0.0186092,6.68e-18,-16.0416,-19.689,-12.3942,***
-15_10,1,≤10 °C,≤10 °C,cold,30,7,(7) agem^year^month + date,2643528,0.0251827,0.0260394,0.333,2.51827,-2.58546,7.622,
10_15,2,10–15 °C,10–15 °C,cold,0,1,(1) agem + date,2761626,-0.0379109,0.00345314,4.84e-28,-3.79109,-4.46791,-3.11428,***
10_15,2,10–15 °C,10–15 °C,cold,0,2,(2) agem^yday + agem^year + date,2738859,-0.0374055,0.00342085,7.8799999999999995e-28,-3.74055,-4.41104,-3.07007,***
10_15,2,10–15 °C,10–15 °C,cold,0,3,(3) agem^week + state^year + weekday,2748411,-0.0589933,0.00308568,1.7699999999999996e-81,-5.89933,-6.50413,-5.29454,***
10_15,2,10–15 °C,10–15 °C,cold,0,4,(4) agem + state^year + yday + weekday,2761626,-0.0562802,0.00271094,9.879999999999997e-96,-5.62802,-6.15936,-5.09667,***
10_15,2,10–15 °C,10–15 °C,cold,0,5,(5) agem^year^month + weekday,2643528,-0.0540445,0.00250078,1.4099999999999996e-103,-5.40445,-5.89461,-4.9143,***
10_15,2,10–15 °C,10–15 °C,cold,0,6,(6) agem^weekday + agem^year^month,2642643,-0.053388,0.00246422,4.359999999999999e-104,-5.3388,-5.82179,-4.85582,***
10_15,2,10–15 °C,10–15 °C,cold,0,7,(7) agem^year^month + date,2643528,-0.033414,0.00295434,1.1700000000000001e-29,-3.3414,-3.92045,-2.76235,***
10_15,2,10–15 °C,10–15 °C,cold,1,1,(1) agem + date,2761626,-0.0529296,0.00455493,3.25e-31,-5.29296,-6.18573,-4.4002,***
10_15,2,10–15 °C,10–15 °C,cold,1,2,(2) agem^yday + agem^year + date,2738859,-0.0521285,0.00411849,1.02e-36,-5.21285,-6.02007,-4.40563,***
10_15,2,10–15 °C,10–15 °C,cold,1,3,(3) agem^week + state^year + weekday,2748411,-0.080522,0.00368314,5.929999999999998e-106,-8.0522,-8.77409,-7.3303,***
10_15,2,10–15 °C,10–15 °C,cold,1,4,(4) agem + state^year + yday + weekday,2761626,-0.0759438,0.00335745,2.7899999999999995e-113,-7.59438,-8.25244,-6.93632,***
10_15,2,10–15 °C,10–15 °C,cold,1,5,(5) agem^year^month + weekday,2643528,-0.0732554,0.00281425,2.26e-149,-7.32554,-7.87713,-6.77395,***
10_15,2,10–15 °C,10–15 °C,cold,1,6,(6) agem^weekday + agem^year^month,2642643,-0.0718934,0.00280412,5.679999999999998e-145,-7.18934,-7.73895,-6.63974,***
10_15,2,10–15 °C,10–15 °C,cold,1,7,(7) agem^year^month + date,2643528,-0.0458515,0.00368751,1.6999999999999999e-35,-4.58515,-5.3079,-3.86239,***
10_15,2,10–15 °C,10–15 °C,cold,2,1,(1) agem + date,2761626,-0.0525612,0.00519524,4.64e-24,-5.25612,-6.27438,-4.23785,***
10_15,2,10–15 °C,10–15 °C,cold,2,2,(2) agem^yday + agem^year + date,2738859,-0.0517903,0.00449146,9.22e-31,-5.17903,-6.05935,-4.2987,***
10_15,2,10–15 °C,10–15 °C,cold,2,3,(3) agem^week + state^year + weekday,2748411,-0.0842042,0.00426356,8.059999999999997e-87,-8.42042,-9.25607,-7.58476,***
10_15,2,10–15 °C,10–15 °C,cold,2,4,(4) agem + state^year + yday + weekday,2761626,-0.0786013,0.00401483,2.3899999999999995e-85,-7.86013,-8.64704,-7.07322,***
10_15,2,10–15 °C,10–15 °C,cold,2,5,(5) agem^year^month + weekday,2643528,-0.075568,0.00331423,4.469999999999999e-115,-7.5568,-8.20639,-6.90721,***
10_15,2,10–15 °C,10–15 °C,cold,2,6,(6) agem^weekday + agem^year^month,2642643,-0.074271,0.00329092,8.839999999999998e-113,-7.4271,-8.07212,-6.78208,***
10_15,2,10–15 °C,10–15 °C,cold,2,7,(7) agem^year^month + date,2643528,-0.0434196,0.00419931,4.66e-25,-4.34196,-5.16503,-3.5189,***
10_15,2,10–15 °C,10–15 °C,cold,3,1,(1) agem + date,2761626,-0.05631,0.00573412,9.219999999999999e-23,-5.631,-6.75488,-4.50711,***
10_15,2,10–15 °C,10–15 °C,cold,3,2,(2) agem^yday + agem^year + date,2738859,-0.0554336,0.00532149,2.08e-25,-5.54336,-6.58637,-4.50035,***
10_15,2,10–15 °C,10–15 °C,cold,3,3,(3) agem^week + state^year + weekday,2748411,-0.091684,0.0051573,1.0599999999999998e-70,-9.1684,-10.1792,-8.15757,***
10_15,2,10–15 °C,10–15 °C,cold,3,4,(4) agem + state^year + yday + weekday,2761626,-0.0854998,0.00453152,2.0999999999999996e-79,-8.54998,-9.43815,-7.6618,***
10_15,2,10–15 °C,10–15 °C,cold,3,5,(5) agem^year^month + weekday,2643528,-0.0828716,0.00370748,1.1399999999999998e-110,-8.28716,-9.01383,-7.5605,***
10_15,2,10–15 °C,10–15 °C,cold,3,6,(6) agem^weekday + agem^year^month,2642643,-0.0823379,0.00367889,5.999999999999999e-111,-8.23379,-8.95486,-7.51273,***
10_15,2,10–15 °C,10–15 °C,cold,3,7,(7) agem^year^month + date,2643528,-0.0458143,0.00447349,1.3e-24,-4.58143,-5.45824,-3.70463,***
10_15,2,10–15 °C,10–15 °C,cold,4,1,(1) agem + date,2761626,-0.0569676,0.00633983,2.57e-19,-5.69676,-6.93937,-4.45415,***
10_15,2,10–15 °C,10–15 °C,cold,4,2,(2) agem^yday + agem^year + date,2738859,-0.0557427,0.00573523,2.49e-22,-5.57427,-6.69837,-4.45016,***
10_15,2,10–15 °C,10–15 °C,cold,4,3,(3) agem^week + state^year + weekday,2748411,-0.096759,0.00556516,1.04e-67,-9.6759,-10.7667,-8.58513,***
10_15,2,10–15 °C,10–15 °C,cold,4,4,(4) agem + state^year + yday + weekday,2761626,-0.0898098,0.00511461,5.039999999999999e-69,-8.98098,-9.98344,-7.97851,***
10_15,2,10–15 °C,10–15 °C,cold,4,5,(5) agem^year^month + weekday,2643528,-0.0873294,0.00421948,3.709999999999999e-95,-8.73294,-9.55996,-7.90592,***
10_15,2,10–15 °C,10–15 °C,cold,4,6,(6) agem^weekday + agem^year^month,2642643,-0.0868806,0.00428289,1.73e-91,-8.68806,-9.52751,-7.84862,***
10_15,2,10–15 °C,10–15 °C,cold,4,7,(7) agem^year^month + date,2643528,-0.0448465,0.00501884,4.05e-19,-4.48465,-5.46834,-3.50095,***
10_15,2,10–15 °C,10–15 °C,cold,5,1,(1) agem + date,2761626,-0.0521761,0.00680545,1.76e-14,-5.21761,-6.55148,-3.88374,***
10_15,2,10–15 °C,10–15 °C,cold,5,2,(2) agem^yday + agem^year + date,2738859,-0.0505569,0.00647175,5.63e-15,-5.05569,-6.32415,-3.78722,***
10_15,2,10–15 °C,10–15 °C,cold,5,3,(3) agem^week + state^year + weekday,2748411,-0.0922407,0.00616098,1.12e-50,-9.22407,-10.4316,-8.01651,***
10_15,2,10–15 °C,10–15 °C,cold,5,4,(4) agem + state^year + yday + weekday,2761626,-0.0845826,0.00510428,1.13e-61,-8.45826,-9.4587,-7.45782,***
10_15,2,10–15 °C,10–15 °C,cold,5,5,(5) agem^year^month + weekday,2643528,-0.0824262,0.0039326,1.5299999999999997e-97,-8.24262,-9.01341,-7.47183,***
10_15,2,10–15 °C,10–15 °C,cold,5,6,(6) agem^weekday + agem^year^month,2642643,-0.0821073,0.00396542,3.069999999999999e-95,-8.21073,-8.98795,-7.4335,***
10_15,2,10–15 °C,10–15 °C,cold,5,7,(7) agem^year^month + date,2643528,-0.0381775,0.00502862,3.15e-14,-3.81775,-4.80336,-2.83214,***
10_15,2,10–15 °C,10–15 °C,cold,6,1,(1) agem + date,2761626,-0.0568971,0.00749597,3.19e-14,-5.68971,-7.15892,-4.2205,***
10_15,2,10–15 °C,10–15 °C,cold,6,2,(2) agem^yday + agem^year + date,2738859,-0.0550068,0.00761807,5.18e-13,-5.50068,-6.99382,-4.00754,***
10_15,2,10–15 °C,10–15 °C,cold,6,3,(3) agem^week + state^year + weekday,2748411,-0.0968269,0.00724717,1.0299999999999999e-40,-9.68269,-11.1031,-8.26224,***
10_15,2,10–15 °C,10–15 °C,cold,6,4,(4) agem + state^year + yday + weekday,2761626,-0.0874226,0.00594631,6.26e-49,-8.74226,-9.90773,-7.57678,***
10_15,2,10–15 °C,10–15 °C,cold,6,5,(5) agem^year^month + weekday,2643528,-0.087032,0.00520365,8.589999999999998e-63,-8.7032,-9.72311,-7.68328,***
10_15,2,10–15 °C,10–15 °C,cold,6,6,(6) agem^weekday + agem^year^month,2642643,-0.0867839,0.0051477,9.049999999999999e-64,-8.67839,-9.68734,-7.66944,***
10_15,2,10–15 °C,10–15 °C,cold,6,7,(7) agem^year^month + date,2643528,-0.0412279,0.00615195,2.06e-11,-4.12279,-5.32857,-2.917,***
10_15,2,10–15 °C,10–15 °C,cold,7,1,(1) agem + date,2761626,-0.053233,0.00824855,1.09e-10,-5.3233,-6.94001,-3.70658,***
10_15,2,10–15 °C,10–15 °C,cold,7,2,(2) agem^yday + agem^year + date,2738859,-0.0506658,0.00828064,9.44e-10,-5.06658,-6.68958,-3.44357,***
10_15,2,10–15 °C,10–15 °C,cold,7,3,(3) agem^week + state^year + weekday,2748411,-0.092982,0.00782304,1.4099999999999998e-32,-9.2982,-10.8315,-7.76488,***
10_15,2,10–15 °C,10–15 °C,cold,7,4,(4) agem + state^year + yday + weekday,2761626,-0.0824478,0.00630308,4.25e-39,-8.24478,-9.48019,-7.00938,***
10_15,2,10–15 °C,10–15 °C,cold,7,5,(5) agem^year^month + weekday,2643528,-0.08408,0.00523878,5.76e-58,-8.408,-9.4348,-7.3812,***
10_15,2,10–15 °C,10–15 °C,cold,7,6,(6) agem^weekday + agem^year^month,2642643,-0.0831074,0.00525328,2.2599999999999997e-56,-8.31074,-9.34038,-7.2811,***
10_15,2,10–15 °C,10–15 °C,cold,7,7,(7) agem^year^month + date,2643528,-0.036138000000000003,0.0063605,1.33e-8,-3.6138,-4.86046,-2.36714,***
10_15,2,10–15 °C,10–15 °C,cold,8,1,(1) agem + date,2761626,-0.0548999,0.00895614,8.8e-10,-5.48999,-7.24539,-3.73459,***
10_15,2,10–15 °C,10–15 °C,cold,8,2,(2) agem^yday + agem^year + date,2738859,-0.0525786,0.00913381,8.59e-9,-5.25786,-7.04809,-3.46763,***
10_15,2,10–15 °C,10–15 °C,cold,8,3,(3) agem^week + state^year + weekday,2748411,-0.0955178,0.00851511,3.35e-29,-9.55178,-11.2207,-7.88282,***
10_15,2,10–15 °C,10–15 °C,cold,8,4,(4) agem + state^year + yday + weekday,2761626,-0.0846553,0.00678922,1.1e-35,-8.46553,-9.79622,-7.13485,***
10_15,2,10–15 °C,10–15 °C,cold,8,5,(5) agem^year^month + weekday,2643528,-0.0880397,0.00558465,5.449999999999999e-56,-8.80397,-9.89856,-7.70938,***
10_15,2,10–15 °C,10–15 °C,cold,8,6,(6) agem^weekday + agem^year^month,2642643,-0.0862632,0.00555974,2.72e-54,-8.62632,-9.71603,-7.53661,***
10_15,2,10–15 °C,10–15 °C,cold,8,7,(7) agem^year^month + date,2643528,-0.0361897,0.00696713,2.05e-7,-3.61897,-4.98453,-2.25342,***
10_15,2,10–15 °C,10–15 °C,cold,9,1,(1) agem + date,2761626,-0.0551123,0.00924806,2.53e-9,-5.51123,-7.32385,-3.69861,***
10_15,2,10–15 °C,10–15 °C,cold,9,2,(2) agem^yday + agem^year + date,2738859,-0.0522521,0.00935279,2.31e-8,-5.22521,-7.05836,-3.39206,***
10_15,2,10–15 °C,10–15 °C,cold,9,3,(3) agem^week + state^year + weekday,2748411,-0.0957235,0.00893821,9.190000000000001e-27,-9.57235,-11.3242,-7.82047,***
10_15,2,10–15 °C,10–15 °C,cold,9,4,(4) agem + state^year + yday + weekday,2761626,-0.08402,0.00699179,2.89e-33,-8.402,-9.77239,-7.03161,***
10_15,2,10–15 °C,10–15 °C,cold,9,5,(5) agem^year^month + weekday,2643528,-0.0894374,0.00546081,2.7399999999999997e-60,-8.94374,-10.0141,-7.87342,***
10_15,2,10–15 °C,10–15 °C,cold,9,6,(6) agem^weekday + agem^year^month,2642643,-0.0876968,0.00545453,3.6500000000000005e-58,-8.76968,-9.83877,-7.7006,***
10_15,2,10–15 °C,10–15 °C,cold,9,7,(7) agem^year^month + date,2643528,-0.0348976,0.00691971,4.58e-7,-3.48976,-4.84603,-2.1335,***
10_15,2,10–15 °C,10–15 °C,cold,10,1,(1) agem + date,2761626,-0.0474273,0.00935257,3.96e-7,-4.74273,-6.57584,-2.90963,***
10_15,2,10–15 °C,10–15 °C,cold,10,2,(2) agem^yday + agem^year + date,2738859,-0.0451505,0.0102324,1.02e-5,-4.51505,-6.5206,-2.50949,***
10_15,2,10–15 °C,10–15 °C,cold,10,3,(3) agem^week + state^year + weekday,2748411,-0.0889346,0.00974238,6.94e-20,-8.89346,-10.803,-6.98396,***
10_15,2,10–15 °C,10–15 °C,cold,10,4,(4) agem + state^year + yday + weekday,2761626,-0.0759691,0.00720107,5.1000000000000005e-26,-7.59691,-9.00832,-6.1855,***
10_15,2,10–15 °C,10–15 °C,cold,10,5,(5) agem^year^month + weekday,2643528,-0.0839415,0.00609817,4.1399999999999995e-43,-8.39415,-9.5894,-7.19891,***
10_15,2,10–15 °C,10–15 °C,cold,10,6,(6) agem^weekday + agem^year^month,2642643,-0.0829789,0.00607878,1.9999999999999998e-42,-8.29789,-9.48934,-7.10645,***
10_15,2,10–15 °C,10–15 °C,cold,10,7,(7) agem^year^month + date,2643528,-0.0259716,0.00760107,6.34e-4,-2.59716,-4.08697,-1.10735,***
10_15,2,10–15 °C,10–15 °C,cold,11,1,(1) agem + date,2761626,-0.0472289,0.00926537,3.44e-7,-4.72289,-6.5389,-2.90687,***
10_15,2,10–15 °C,10–15 °C,cold,11,2,(2) agem^yday + agem^year + date,2738859,-0.0457138,0.0104898,1.31e-5,-4.5713800000000004,-6.62739,-2.51536,***
10_15,2,10–15 °C,10–15 °C,cold,11,3,(3) agem^week + state^year + weekday,2748411,-0.0875685,0.010242,1.23e-17,-8.75685,-10.7643,-6.74942,***
10_15,2,10–15 °C,10–15 °C,cold,11,4,(4) agem + state^year + yday + weekday,2761626,-0.073066,0.00731132,1.6299999999999997e-23,-7.3066,-8.73962,-5.87358,***
10_15,2,10–15 °C,10–15 °C,cold,11,5,(5) agem^year^month + weekday,2643528,-0.0839835,0.0061227,8.059999999999999e-43,-8.39835,-9.5984,-7.1983,***
10_15,2,10–15 °C,10–15 °C,cold,11,6,(6) agem^weekday + agem^year^month,2642643,-0.0830425,0.00615391,1.6899999999999999e-41,-8.30425,-9.51041,-7.09808,***
10_15,2,10–15 °C,10–15 °C,cold,11,7,(7) agem^year^month + date,2643528,-0.0242966,0.00756424,0.00132,-2.42966,-3.91225,-0.94707,***
10_15,2,10–15 °C,10–15 °C,cold,12,1,(1) agem + date,2761626,-0.0444771,0.00982824,6.03e-6,-4.44771,-6.37404,-2.52137,***
10_15,2,10–15 °C,10–15 °C,cold,12,2,(2) agem^yday + agem^year + date,2738859,-0.0431628,0.0114791,1.7e-4,-4.31628,-6.56619,-2.06636,***
10_15,2,10–15 °C,10–15 °C,cold,12,3,(3) agem^week + state^year + weekday,2748411,-0.0830952,0.0112606,1.59e-13,-8.30952,-10.5166,-6.10244,***
10_15,2,10–15 °C,10–15 °C,cold,12,4,(4) agem + state^year + yday + weekday,2761626,-0.068088,0.00755066,1.92e-19,-6.8088,-8.28872,-5.32887,***
10_15,2,10–15 °C,10–15 °C,cold,12,5,(5) agem^year^month + weekday,2643528,-0.0815789,0.00627335,1.16e-38,-8.15789,-9.38747,-6.92832,***
10_15,2,10–15 °C,10–15 °C,cold,12,6,(6) agem^weekday + agem^year^month,2642643,-0.0806949,0.00629613,1.3199999999999999e-37,-8.06949,-9.30353,-6.83544,***
10_15,2,10–15 °C,10–15 °C,cold,12,7,(7) agem^year^month + date,2643528,-0.0202002,0.00766698,0.00842,-2.02002,-3.52275,-0.517295,***
10_15,2,10–15 °C,10–15 °C,cold,13,1,(1) agem + date,2761626,-0.0438804,0.0102998,2.04e-5,-4.38804,-6.40679,-2.36929,***
10_15,2,10–15 °C,10–15 °C,cold,13,2,(2) agem^yday + agem^year + date,2738859,-0.0424284,0.0122811,5.51e-4,-4.24284,-6.64993,-1.83575,***
10_15,2,10–15 °C,10–15 °C,cold,13,3,(3) agem^week + state^year + weekday,2748411,-0.0817079,0.0120874,1.38e-11,-8.17079,-10.5399,-5.80167,***
10_15,2,10–15 °C,10–15 °C,cold,13,4,(4) agem + state^year + yday + weekday,2761626,-0.065689,0.00790826,9.87e-17,-6.5689,-8.11892,-5.01888,***
10_15,2,10–15 °C,10–15 °C,cold,13,5,(5) agem^year^month + weekday,2643528,-0.0828674,0.00701848,3.5899999999999995e-32,-8.28674,-9.66237,-6.91112,***
10_15,2,10–15 °C,10–15 °C,cold,13,6,(6) agem^weekday + agem^year^month,2642643,-0.082185,0.00697928,5.219999999999999e-32,-8.2185,-9.58644,-6.85056,***
10_15,2,10–15 °C,10–15 °C,cold,13,7,(7) agem^year^month + date,2643528,-0.0181229,0.00849037,0.0328,-1.81229,-3.47641,-0.148178,**
10_15,2,10–15 °C,10–15 °C,cold,14,1,(1) agem + date,2761626,-0.0449331,0.0109632,4.16e-5,-4.49331,-6.6421,-2.34452,***
10_15,2,10–15 °C,10–15 °C,cold,14,2,(2) agem^yday + agem^year + date,2738859,-0.0450465,0.0132105,6.5e-4,-4.50465,-7.09391,-1.91539,***
10_15,2,10–15 °C,10–15 °C,cold,14,3,(3) agem^week + state^year + weekday,2748411,-0.0858579,0.0128513,2.37e-11,-8.58579,-11.1046,-6.06694,***
10_15,2,10–15 °C,10–15 °C,cold,14,4,(4) agem + state^year + yday + weekday,2761626,-0.0673743,0.00844841,1.53e-15,-6.73743,-8.39332,-5.08154,***
10_15,2,10–15 °C,10–15 °C,cold,14,5,(5) agem^year^month + weekday,2643528,-0.0896358,0.00766781,1.44e-31,-8.96358,-10.4665,-7.46069,***
