bin,bin_order,bin_label_en,bin_label_es,side,horizon,spec,fe_name,nobs,estimate,se,p,pct,ci_low,ci_high,stars
-15_10,1,≤10 °C,≤10 °C,cold,5,1,(1) agem + date,2761626,-0.0824443,0.0135927,1.32e-9,-8.24443,-10.9086,-5.58027,***
-15_10,1,≤10 °C,≤10 °C,cold,5,2,(2) agem^yday + agem^year + date,2738859,-0.0821914,0.0119052,5.06e-12,-8.21914,-10.5526,-5.88572,***
-15_10,1,≤10 °C,≤10 °C,cold,5,3,(3) agem^week + state^year + weekday,2748411,-0.181102,0.0106007,1.9499999999999998e-65,-18.1102,-20.188,-16.0325,***
-15_10,1,≤10 °C,≤10 °C,cold,5,4,(4) agem + state^year + yday + weekday,2761626,-0.154108,0.00926618,4.14e-62,-15.4108,-17.2269,-13.5946,***
-15_10,1,≤10 °C,≤10 °C,cold,5,5,(5) agem^year^month + weekday,2643528,-0.148358,0.00714939,1.1999999999999997e-95,-14.8358,-16.2371,-13.4345,***
-15_10,1,≤10 °C,≤10 °C,cold,5,6,(6) agem^weekday + agem^year^month,2642643,-0.148235,0.00717305,7.069999999999998e-95,-14.8235,-16.2294,-13.4176,***
-15_10,1,≤10 °C,≤10 °C,cold,5,7,(7) agem^year^month + date,2643528,-0.0646946,0.00877992,1.73e-13,-6.46946,-8.19033,-4.7486,***
-15_10,1,≤10 °C,≤10 °C,cold,6,1,(1) agem + date,2761626,-0.0908971,0.0144582,3.24e-10,-9.08971,-11.9235,-6.25591,***
-15_10,1,≤10 °C,≤10 °C,cold,6,2,(2) agem^yday + agem^year + date,2738859,-0.0897043,0.0136181,4.48e-11,-8.97043,-11.6396,-6.30127,***
-15_10,1,≤10 °C,≤10 °C,cold,6,3,(3) agem^week + state^year + weekday,2748411,-0.191528,0.0118847,1.98e-58,-19.1528,-21.4822,-16.8234,***
-15_10,1,≤10 °C,≤10 °C,cold,6,4,(4) agem + state^year + yday + weekday,2761626,-0.15934,0.00995239,1.08e-57,-15.934,-17.8846,-13.9833,***
-15_10,1,≤10 °C,≤10 °C,cold,6,5,(5) agem^year^month + weekday,2643528,-0.155013,0.00797451,3.6399999999999994e-84,-15.5013,-17.0643,-13.9383,***
-15_10,1,≤10 °C,≤10 °C,cold,6,6,(6) agem^weekday + agem^year^month,2642643,-0.155037,0.0079489,1.0099999999999999e-84,-15.5037,-17.0617,-13.9458,***
-15_10,1,≤10 °C,≤10 °C,cold,6,7,(7) agem^year^month + date,2643528,-0.0707485,0.00991305,9.55e-13,-7.07485,-9.01781,-5.13189,***
-15_10,1,≤10 °C,≤10 °C,cold,7,1,(1) agem + date,2761626,-0.0840317,0.0156479,7.87e-8,-8.40317,-11.4702,-5.33618,***
-15_10,1,≤10 °C,≤10 °C,cold,7,2,(2) agem^yday + agem^year + date,2738859,-0.0802847,0.0149397,7.7e-8,-8.02847,-10.9566,-5.10029,***
-15_10,1,≤10 °C,≤10 °C,cold,7,3,(3) agem^week + state^year + weekday,2748411,-0.18864,0.0131958,2.3399999999999998e-46,-18.864,-21.4504,-16.2777,***
-15_10,1,≤10 °C,≤10 °C,cold,7,4,(4) agem + state^year + yday + weekday,2761626,-0.152153,0.0106117,1.26e-46,-15.2153,-17.2952,-13.1354,***
