bin,bin_order,bin_label_en,bin_label_es,side,horizon,spec,group_order,group_label_en,group_label_es,estimate,se,p,pct,ci_low,ci_high,stars
-15_10,1,≤10 °C,≤10 °C,cold,5,40_60,4,40–60,40–60,-0.145593,0.00811811,6.369999999999999e-72,-14.5593,-16.1504,-12.9681,***
-15_10,1,≤10 °C,≤10 °C,cold,5,60_80,5,60–80,60–80,-0.0984729,0.00941948,1.4e-25,-9.84729,-11.6935,-8.00107,***
-15_10,1,≤10 °C,≤10 °C,cold,5,80_130,6,80+,80+,-0.0380846,0.016335,0.0197,-3.80846,-7.01011,-0.606805,**
-15_10,1,≤10 °C,≤10 °C,cold,6,0_12,1,0–12,0–12,-0.216561,0.0128667,1.4399999999999997e-63,-21.6561,-24.178,-19.1342,***
-15_10,1,≤10 °C,≤10 °C,cold,6,12_20,2,12–20,12–20,-0.164674,0.010679,1.19e-53,-16.4674,-18.5605,-14.3743,***
-15_10,1,≤10 °C,≤10 °C,cold,6,20_40,3,20–40,20–40,-0.138325,0.00814181,9.819999999999999e-65,-13.8325,-15.4283,-12.2367,***
-15_10,1,≤10 °C,≤10 °C,cold,6,40_60,4,40–60,40–60,-0.145886,0.00972471,7.17e-51,-14.5886,-16.4947,-12.6826,***
-15_10,1,≤10 °C,≤10 °C,cold,6,60_80,5,60–80,60–80,-0.0849291,0.00971574,2.3e-18,-8.49291,-10.3972,-6.58862,***
-15_10,1,≤10 °C,≤10 °C,cold,6,80_130,6,80+,80+,-0.023064,0.0173836,0.185,-2.3064,-5.71359,1.10079,
-15_10,1,≤10 °C,≤10 °C,cold,7,0_12,1,0–12,0–12,-0.204244,0.0126526,1.2800000000000001e-58,-20.4244,-22.9043,-17.9445,***
-15_10,1,≤10 °C,≤10 °C,cold,7,12_20,2,12–20,12–20,-0.165077,0.011701,3.4e-45,-16.5077,-18.8011,-14.2143,***
-15_10,1,≤10 °C,≤10 °C,cold,7,20_40,3,20–40,20–40,-0.135192,0.0090607,2.42e-50,-13.5192,-15.2951,-11.7433,***
-15_10,1,≤10 °C,≤10 °C,cold,7,40_60,4,40–60,40–60,-0.141742,0.0100678,5.13e-45,-14.1742,-16.1475,-12.2009,***
-15_10,1,≤10 °C,≤10 °C,cold,7,60_80,5,60–80,60–80,-0.0718896,0.0112396,1.59e-10,-7.18896,-9.39193,-4.98599,***
-15_10,1,≤10 °C,≤10 °C,cold,7,80_130,6,80+,80+,-0.01396,0.0200601,0.486,-1.396,-5.32778,2.53579,
-15_10,1,≤10 °C,≤10 °C,cold,8,0_12,1,0–12,0–12,-0.19983,0.0144723,2.2899999999999998e-43,-19.983,-22.8196,-17.1465,***
-15_10,1,≤10 °C,≤10 °C,cold,8,12_20,2,12–20,12–20,-0.169886,0.0123937,9.17e-43,-16.9886,-19.4177,-14.5594,***
-15_10,1,≤10 °C,≤10 °C,cold,8,20_40,3,20–40,20–40,-0.138909,0.0106178,4.13e-39,-13.8909,-15.972,-11.8098,***
-15_10,1,≤10 °C,≤10 °C,cold,8,40_60,4,40–60,40–60,-0.140416,0.0118554,2.31e-32,-14.0416,-16.3653,-11.718,***
-15_10,1,≤10 °C,≤10 °C,cold,8,60_80,5,60–80,60–80,-0.0636123,0.0123131,2.39e-7,-6.36123,-8.77459,-3.94787,***
-15_10,1,≤10 °C,≤10 °C,cold,8,80_130,6,80+,80+,0.0057581,0.020485,0.779,0.57581,-3.43925,4.59086,
-15_10,1,≤10 °C,≤10 °C,cold,9,0_12,1,0–12,0–12,-0.199329,0.0155148,8.859999999999999e-38,-19.9329,-22.9738,-16.892,***
-15_10,1,≤10 °C,≤10 °C,cold,9,12_20,2,12–20,12–20,-0.169127,0.0131702,9.58e-38,-16.9127,-19.4941,-14.3314,***
-15_10,1,≤10 °C,≤10 °C,cold,9,20_40,3,20–40,20–40,-0.141037,0.0117084,2.04e-33,-14.1037,-16.3985,-11.8088,***
-15_10,1,≤10 °C,≤10 °C,cold,9,40_60,4,40–60,40–60,-0.137436,0.0124565,2.6399999999999998e-28,-13.7436,-16.1851,-11.3021,***
-15_10,1,≤10 °C,≤10 °C,cold,9,60_80,5,60–80,60–80,-0.0605995,0.0133757,5.88e-6,-6.05995,-8.68159,-3.4383,***
-15_10,1,≤10 °C,≤10 °C,cold,9,80_130,6,80+,80+,0.0164109,0.0213452,0.442,1.64109,-2.54258,5.82475,
-15_10,1,≤10 °C,≤10 °C,cold,10,0_12,1,0–12,0–12,-0.19056,0.0165383,1.02e-30,-19.056,-22.2975,-15.8145,***
-15_10,1,≤10 °C,≤10 °C,cold,10,12_20,2,12–20,12–20,-0.16892,0.0144661,1.6699999999999999e-31,-16.892,-19.7274,-14.0567,***
-15_10,1,≤10 °C,≤10 °C,cold,10,20_40,3,20–40,20–40,-0.138258,0.0125637,3.63e-28,-13.8258,-16.2883,-11.3633,***
-15_10,1,≤10 °C,≤10 °C,cold,10,40_60,4,40–60,40–60,-0.132091,0.0139013,2.0600000000000002e-21,-13.2091,-15.9338,-10.4845,***
-15_10,1,≤10 °C,≤10 °C,cold,10,60_80,5,60–80,60–80,-0.0509519,0.0147514,5.52e-4,-5.09519,-7.98647,-2.20391,***
-15_10,1,≤10 °C,≤10 °C,cold,10,80_130,6,80+,80+,0.0201557,0.0227811,0.376,2.01557,-2.44953,6.48067,
-15_10,1,≤10 °C,≤10 °C,cold,11,0_12,1,0–12,0–12,-0.183566,0.0180221,2.2999999999999997e-24,-18.3566,-21.8889,-14.8242,***
-15_10,1,≤10 °C,≤10 °C,cold,11,12_20,2,12–20,12–20,-0.167857,0.0154646,1.9e-27,-16.7857,-19.8168,-13.7547,***
-15_10,1,≤10 °C,≤10 °C,cold,11,20_40,3,20–40,20–40,-0.14022,0.0138472,4.22e-24,-14.022,-16.7361,-11.308,***
-15_10,1,≤10 °C,≤10 °C,cold,11,40_60,4,40–60,40–60,-0.129055,0.0150693,1.09e-17,-12.9055,-15.8591,-9.95196,***
-15_10,1,≤10 °C,≤10 °C,cold,11,60_80,5,60–80,60–80,-0.0495872,0.0158354,0.00174,-4.95872,-8.06246,-1.85499,***
-15_10,1,≤10 °C,≤10 °C,cold,11,80_130,6,80+,80+,0.0288737,0.0256527,0.26,2.88737,-2.14056,7.9153,
-15_10,1,≤10 °C,≤10 °C,cold,12,0_12,1,0–12,0–12,-0.171412,0.0184557,1.58e-20,-17.1412,-20.7585,-13.5239,***
-15_10,1,≤10 °C,≤10 °C,cold,12,12_20,2,12–20,12–20,-0.167055,0.0160851,2.88e-25,-16.7055,-19.8582,-13.5528,***
-15_10,1,≤10 °C,≤10 °C,cold,12,20_40,3,20–40,20–40,-0.136104,0.0147204,2.33e-20,-13.6104,-16.4956,-10.7252,***
-15_10,1,≤10 °C,≤10 °C,cold,12,40_60,4,40–60,40–60,-0.120641,0.0163617,1.66e-13,-12.0641,-15.271,-8.85722,***
-15_10,1,≤10 °C,≤10 °C,cold,12,60_80,5,60–80,60–80,-0.0432629,0.0165472,0.00894,-4.32629,-7.56954,-1.08305,***
-15_10,1,≤10 °C,≤10 °C,cold,12,80_130,6,80+,80+,0.0381449,0.0261757,0.145,3.81449,-1.31594,8.94492,
-15_10,1,≤10 °C,≤10 °C,cold,13,0_12,1,0–12,0–12,-0.166387,0.0198402,5.01e-17,-16.6387,-20.5274,-12.75,***
-15_10,1,≤10 °C,≤10 °C,cold,13,12_20,2,12–20,12–20,-0.16945,0.0164322,6.21e-25,-16.945,-20.1657,-13.7243,***
-15_10,1,≤10 °C,≤10 °C,cold,13,20_40,3,20–40,20–40,-0.144315,0.0154926,1.22e-20,-14.4315,-17.4681,-11.395,***
-15_10,1,≤10 °C,≤10 °C,cold,13,40_60,4,40–60,40–60,-0.129775,0.0167028,7.87e-15,-12.9775,-16.2512,-9.70371,***
-15_10,1,≤10 °C,≤10 °C,cold,13,60_80,5,60–80,60–80,-0.0402513,0.0184203,0.0289,-4.02513,-7.63551,-0.414752,**
-15_10,1,≤10 °C,≤10 °C,cold,13,80_130,6,80+,80+,0.0531546,0.0268101,0.0474,5.31546,0.0606797,10.5702,**
-15_10,1,≤10 °C,≤10 °C,cold,14,0_12,1,0–12,0–12,-0.172118,0.0209444,2.07e-16,-17.2118,-21.3169,-13.1067,***
-15_10,1,≤10 °C,≤10 °C,cold,14,12_20,2,12–20,12–20,-0.16738,0.0174162,7.21e-22,-16.738,-20.1516,-13.3244,***
-15_10,1,≤10 °C,≤10 °C,cold,14,20_40,3,20–40,20–40,-0.147697,0.0165656,4.84e-19,-14.7697,-18.0165,-11.5228,***
-15_10,1,≤10 °C,≤10 °C,cold,14,40_60,4,40–60,40–60,-0.142697,0.0167522,1.62e-17,-14.2697,-17.5531,-10.9863,***
-15_10,1,≤10 °C,≤10 °C,cold,14,60_80,5,60–80,60–80,-0.0528578,0.0186172,0.00452,-5.28578,-8.93475,-1.63681,***
-15_10,1,≤10 °C,≤10 °C,cold,14,80_130,6,80+,80+,0.0430889,0.0286155,0.132,4.30889,-1.29974,9.91751,
-15_10,1,≤10 °C,≤10 °C,cold,15,0_12,1,0–12,0–12,-0.180553,0.0207138,2.87e-18,-18.0553,-22.1152,-13.9954,***
-15_10,1,≤10 °C,≤10 °C,cold,15,12_20,2,12–20,12–20,-0.185214,0.0177695,1.94e-25,-18.5214,-22.0042,-15.0386,***
