bin,bin_order,bin_label_en,bin_label_es,side,horizon,estimate,se,p,pct,ci_low,ci_high,stars
10_15,2,10–15 °C,10–15 °C,cold,15,-0.0907956,0.00739512,1.19e-34,-9.07956,-10.529,-7.63012,***
10_15,2,10–15 °C,10–15 °C,cold,16,-0.0949981,0.00797872,1.1e-32,-9.49981,-11.0636,-7.93598,***
10_15,2,10–15 °C,10–15 °C,cold,17,-0.0958364,0.00818222,1.0999999999999998e-31,-9.58364,-11.1874,-7.97993,***
10_15,2,10–15 °C,10–15 °C,cold,18,-0.0976035,0.00801514,4.0999999999999995e-34,-9.76035,-11.3313,-8.18938,***
10_15,2,10–15 °C,10–15 °C,cold,19,-0.0954687,0.00850308,2.99e-29,-9.54687,-11.2135,-7.88027,***
10_15,2,10–15 °C,10–15 °C,cold,20,-0.0952114,0.0083876,7.289999999999999e-30,-9.52114,-11.1651,-7.87717,***
10_15,2,10–15 °C,10–15 °C,cold,21,-0.100757,0.00900722,4.7600000000000004e-29,-10.0757,-11.8412,-8.31033,***
10_15,2,10–15 °C,10–15 °C,cold,22,-0.101627,0.00910272,6.09e-29,-10.1627,-11.9468,-8.37853,***
10_15,2,10–15 °C,10–15 °C,cold,23,-0.104284,0.00944147,2.31e-28,-10.4284,-12.2789,-8.57784,***
10_15,2,10–15 °C,10–15 °C,cold,24,-0.106475,0.00939876,9.47e-30,-10.6475,-12.4897,-8.80538,***
10_15,2,10–15 °C,10–15 °C,cold,25,-0.109689,0.00951236,9.179999999999999e-31,-10.9689,-12.8334,-9.10452,***
10_15,2,10–15 °C,10–15 °C,cold,26,-0.114388,0.0098587,3.99e-31,-11.4388,-13.3711,-9.50648,***
10_15,2,10–15 °C,10–15 °C,cold,27,-0.116076,0.0101357,2.29e-30,-11.6076,-13.5942,-9.62098,***
10_15,2,10–15 °C,10–15 °C,cold,28,-0.117757,0.0105161,4.1800000000000003e-29,-11.7757,-13.8369,-9.71455,***
10_15,2,10–15 °C,10–15 °C,cold,29,-0.121388,0.0104439,3.16e-31,-12.1388,-14.1858,-10.0918,***
10_15,2,10–15 °C,10–15 °C,cold,30,-0.117888,0.0108403,1.5200000000000002e-27,-11.7888,-13.9135,-9.66416,***
15_20,3,15–20 °C,15–20 °C,cold,0,-0.0271041,0.00166958,2.8900000000000003e-59,-2.71041,-3.03764,-2.38317,***
15_20,3,15–20 °C,15–20 °C,cold,1,-0.0335547,0.00187207,7.689999999999998e-72,-3.35547,-3.72239,-2.98854,***
15_20,3,15–20 °C,15–20 °C,cold,2,-0.0338424,0.00220999,6.22e-53,-3.38424,-3.81739,-2.95108,***
15_20,3,15–20 °C,15–20 °C,cold,3,-0.0361782,0.00257343,6.84e-45,-3.61782,-4.12221,-3.11343,***
15_20,3,15–20 °C,15–20 °C,cold,4,-0.0376664,0.00313587,3.09e-33,-3.76664,-4.38127,-3.15201,***
15_20,3,15–20 °C,15–20 °C,cold,5,-0.0347452,0.00283797,1.83e-34,-3.47452,-4.03076,-2.91828,***
15_20,3,15–20 °C,15–20 °C,cold,6,-0.0361744,0.00358636,6.329999999999999e-24,-3.61744,-4.32037,-2.91452,***
15_20,3,15–20 °C,15–20 °C,cold,7,-0.0353899,0.00365248,3.35e-22,-3.53899,-4.25488,-2.82311,***
15_20,3,15–20 °C,15–20 °C,cold,8,-0.0340989,0.00377492,1.67e-19,-3.40989,-4.14977,-2.67,***
15_20,3,15–20 °C,15–20 °C,cold,9,-0.035125,0.00398414,1.18e-18,-3.5125,-4.29339,-2.73161,***
15_20,3,15–20 °C,15–20 °C,cold,10,-0.0313606,0.00424829,1.56e-13,-3.13606,-3.96872,-2.30339,***
15_20,3,15–20 °C,15–20 °C,cold,11,-0.0295492,0.00437723,1.47e-11,-2.95492,-3.81286,-2.09698,***
15_20,3,15–20 °C,15–20 °C,cold,12,-0.0267952,0.00443702,1.55e-9,-2.67952,-3.54918,-1.80986,***
15_20,3,15–20 °C,15–20 °C,cold,13,-0.0295343,0.00501973,4.01e-9,-2.95343,-3.9373,-1.96957,***
15_20,3,15–20 °C,15–20 °C,cold,14,-0.0339955,0.00553405,8.1e-10,-3.39955,-4.48423,-2.31488,***
15_20,3,15–20 °C,15–20 °C,cold,15,-0.0341089,0.00517092,4.22e-11,-3.41089,-4.42439,-2.39739,***
15_20,3,15–20 °C,15–20 °C,cold,16,-0.0353166,0.00544344,8.7e-11,-3.53166,-4.59858,-2.46475,***
15_20,3,15–20 °C,15–20 °C,cold,17,-0.0342543,0.00557128,7.83e-10,-3.42543,-4.5174,-2.33346,***
15_20,3,15–20 °C,15–20 °C,cold,18,-0.0364777,0.00558922,6.74e-11,-3.64777,-4.74325,-2.55228,***
15_20,3,15–20 °C,15–20 °C,cold,19,-0.0360101,0.00574544,3.67e-10,-3.60101,-4.72712,-2.4749,***
15_20,3,15–20 °C,15–20 °C,cold,20,-0.0367315,0.00589483,4.63e-10,-3.67315,-4.82853,-2.51776,***
15_20,3,15–20 °C,15–20 °C,cold,21,-0.0390164,0.00617962,2.72e-10,-3.90164,-5.11285,-2.69044,***
15_20,3,15–20 °C,15–20 °C,cold,22,-0.04121,0.00621153,3.26e-11,-4.121,-5.33846,-2.90354,***
15_20,3,15–20 °C,15–20 °C,cold,23,-0.0420041,0.00622869,1.54e-11,-4.20041,-5.42124,-2.97959,***
15_20,3,15–20 °C,15–20 °C,cold,24,-0.0448419,0.00632956,1.4e-12,-4.48419,-5.72478,-3.2436,***
