bin,bin_order,bin_label_en,bin_label_es,side,horizon,spec,spec_label_en,spec_label_es,nobs,estimate,se,p,pct,ci_low,ci_high,stars
-15_10,1,≤10 °C,≤10 °C,cold,10,non_circ,Non-circulatory,No circulatorias,15588381,0.296639,0.0119561,6.8699999999999986e-136,29.6639,27.3205,32.0072,***
-15_10,1,≤10 °C,≤10 °C,cold,10,other_icd,Other or unknown cause,Otra causa o no especificada,6576306,0.187222,0.0356276,1.48e-7,18.7222,11.7392,25.7052,***
-15_10,1,≤10 °C,≤10 °C,cold,11,circ,Circulatory,Circulatorias,12187862,0.454913,0.0147745,3.5299999999999985e-208,45.4913,42.5955,48.3871,***
-15_10,1,≤10 °C,≤10 °C,cold,11,non_circ,Non-circulatory,No circulatorias,15588381,0.309344,0.0125307,1.4799999999999996e-134,30.9344,28.4784,33.3905,***
-15_10,1,≤10 °C,≤10 °C,cold,11,other_icd,Other or unknown cause,Otra causa o no especificada,6576306,0.189849,0.0372279,3.4e-7,18.9849,11.6882,26.2816,***
-15_10,1,≤10 °C,≤10 °C,cold,12,circ,Circulatory,Circulatorias,12187862,0.473307,0.0154097,3.589999999999998e-207,47.3307,44.3105,50.351,***
-15_10,1,≤10 °C,≤10 °C,cold,12,non_circ,Non-circulatory,No circulatorias,15588381,0.317791,0.0128486,4.659999999999999e-135,31.7791,29.2608,34.2974,***
-15_10,1,≤10 °C,≤10 °C,cold,12,other_icd,Other or unknown cause,Otra causa o no especificada,6576306,0.191981,0.0369306,2.01e-7,19.1981,11.9597,26.4365,***
-15_10,1,≤10 °C,≤10 °C,cold,13,circ,Circulatory,Circulatorias,12187862,0.484839,0.0157086,3.5699999999999983e-209,48.4839,45.405,51.5628,***
-15_10,1,≤10 °C,≤10 °C,cold,13,non_circ,Non-circulatory,No circulatorias,15588381,0.332445,0.0129633,4.799999999999998e-145,33.2445,30.7036,35.7853,***
-15_10,1,≤10 °C,≤10 °C,cold,13,other_icd,Other or unknown cause,Otra causa o no especificada,6576306,0.195378,0.0363301,7.54e-8,19.5378,12.4171,26.6585,***
-15_10,1,≤10 °C,≤10 °C,cold,14,circ,Circulatory,Circulatorias,12187862,0.509814,0.0164847,5.269999999999998e-210,50.9814,47.7504,54.2124,***
-15_10,1,≤10 °C,≤10 °C,cold,14,non_circ,Non-circulatory,No circulatorias,15588381,0.344414,0.0138871,8.759999999999998e-136,34.4414,31.7195,37.1633,***
-15_10,1,≤10 °C,≤10 °C,cold,14,other_icd,Other or unknown cause,Otra causa o no especificada,6576306,0.235914,0.0388266,1.23e-9,23.5914,15.9814,31.2014,***
-15_10,1,≤10 °C,≤10 °C,cold,15,circ,Circulatory,Circulatorias,12187862,0.525606,0.0177808,4.8499999999999976e-192,52.5606,49.0755,56.0456,***
-15_10,1,≤10 °C,≤10 °C,cold,15,non_circ,Non-circulatory,No circulatorias,15588381,0.347857,0.0148327,1.2599999999999996e-121,34.7857,31.8785,37.6929,***
