hid,agem_mode,mode_share,clues_ent,mode_ent
CSSSA004945,07068,0.4920089949002128,07,07
CSSSA005645,07077,0.8615553121577217,07,07
CSSSA005773,07078,0.6494751473901165,07,07
CSSSA006403,07089,0.9935249215229756,07,07
CSSSA006934,07096,0.994553004396678,07,07
CSSSA007074,07097,0.9851989587207141,07,07
CSSSA007540,07101,0.9330913300932235,07,07
CSSSA008264,07109,0.5758842957596421,07,07
CSSSA009186,07074,0.8812178108090488,07,07
CSSSA009203,07012,0.8667950807527041,07,07
CSSSA009232,07109,0.49841232506174293,07,07
CSSSA009244,07089,0.6996385771352482,07,07
CSSSA009256,07081,0.8083152042542906,07,07
CSSSA009261,07075,0.8845853331845072,07,07
CSSSA009273,07027,0.8945769406045876,07,07
CSSSA009326,07109,0.6666666666666666,07,07
CSSSA009541,07005,0.9553612517257248,07,07
CSSSA009635,07101,0.8099582898852972,07,07
CSSSA009640,07040,0.3048469387755102,07,07
CSSSA017504,07070,0.6383701188455009,07,07
CSSSA017516,07107,0.9858619069985909,07,07
CSSSA017521,07091,0.7711094664603377,07,07
CSSSA017726,07049,0.8118546543706155,07,07
CSSSA017731,07059,0.9586856396507871,07,07
CSSSA018740,07069,0.9818459492080696,07,07
CSSSA018752,07094,0.8109809986743262,07,07
CSSSA018764,07078,0.7473122959738847,07,07
CSSSA018776,07019,0.8091285777381776,07,07
CSSSA018781,07034,0.7053714961473789,07,07
CSSSA018793,07022,0.9811218985976268,07,07
CSSSA018875,07108,0.7836591182050792,07,07
CSSSA019242,07062,0.9438013049884235,07,07
CSSSA019476,07064,0.946218487394958,07,07
CSSSA019481,07023,0.7960824440871218,07,07
CSSSA019645,07059,0.7621525490712686,07,07
CSSSA019954,07101,0.9012334854869555,07,07
DFSSA000053,09002,0.9500997868498581,09,09
DFSSA000065,09002,0.9462568743306177,09,09
DFSSA000350,09003,0.629695885509839,09,09
DFSSA000596,09004,0.6519276293540751,09,09
DFSSA000835,09005,0.8795825179386824,09,09
DFSSA000840,09005,0.7356954163505045,09,09
DFSSA000852,09005,0.9927573460309504,09,09
DFSSA000864,09005,0.9472765196092502,09,09
DFSSA000876,09005,0.9968820424165715,09,09
DFSSA000881,09005,0.5486466325660699,09,09
DFSSA001296,09006,0.9251951828193329,09,09
DFSSA001511,09007,0.9984539858622953,09,09
DFSSA001523,09007,0.9990645463049579,09,09
DFSSA001535,09007,0.9969283276450512,09,09
DFSSA001540,09007,0.9950112452525939,09,09
DFSSA001926,09008,0.6167154644663295,09,09
DFSSA002066,09009,0.7699521557822623,09,09
DFSSA002491,09011,0.6357356665899148,09,09
DFSSA002660,09012,0.8791644908616189,09,09
DFSSA002672,09012,0.9945317840054683,09,09
DFSSA002923,09013,0.7049408069582025,09,09
DFSSA002935,09013,0.9808219178082191,09,09
DFSSA002993,09013,0.9246273575632827,09,09
DFSSA003005,09013,0.9984297891431135,09,09
DFSSA003162,09003,0.20893692794714747,09,09
DFSSA003372,09015,0.48721311475409834,09,09
DFSSA003384,09015,0.673784494086728,09,09
DFSSA003536,09014,0.5685265438786565,09,09
DFSSA003541,09016,0.35098080573718626,09,09
DFSSA003553,09016,0.9806617951771205,09,09
DFSSA003664,09017,0.20700117023274628,09,09
DFSSA003705,09017,0.26884323340160965,09,09
DFSSA003710,09017,0.5822109441082699,09,09
DFSSA003722,09017,0.3562052728588805,09,09
DFSSA003944,09005,0.23394289543049665,09,09
DFSSA003956,09013,0.8930131004366813,09,09
DFSSA003961,09012,0.41462627271299046,09,09
DFSSA003973,09007,0.09820933277120732,09,09
DFSSA003985,09015,0.3454947484798231,09,09
DFSSA003990,09015,0.3040942308565204,09,09
DFSSA004002,15057,0.12458131576073106,09,15
DFSSA004043,15058,0.06600942991855979,09,15
DFSSA004096,09998,0.17146171693735499,09,09
DFSSA004130,09007,0.21167255707326393,09,09
DFSSA004142,09012,0.12164200661167635,09,09
DFSSA004154,09012,0.10638297872340426,09,09
DFSSA004265,09007,0.8132832080200502,09,09
DFSSA005006,09012,0.5765558825640658,09,09
DFSSA005011,09012,0.7376969752901276,09,09
DFSSA005064,09005,0.6980859989512324,09,09
DFSSA005175,09004,0.9545454545454546,09,09
DFSSA006155,12055,1,09,12
DFSSA017886,09010,0.9805024086040043,09,09
DFSSA018142,09007,0.9781689076899834,09,09
DFSSA018154,09011,0.89190101171334,09,09
DFSSA018166,09012,0.7172866110746744,09,09
DFSSA018760,09007,0.9983484723369116,09,09
DGIMO000352,10008,0.7706708268330733,10,10
DGIMO001093,10024,0.7263681592039801,10,10
DGIMO001595,10038,0.6024915062287656,10,10
DGIST000124,10023,1,10,10
DGSSA000010,10001,0.9768860628974051,10,10
DGSSA000116,10004,0.9563357309018957,10,10
DGSSA000191,10005,0.9363279384888947,10,10
DGSSA000611,10005,0.824972691370473,10,10
DGSSA000640,10006,0.7620192307692307,10,10
DGSSA000676,10007,0.9904888351026019,10,10
DGSSA001224,10014,0.9492769110208734,10,10
DGSSA001241,10014,1,10,10
DGSSA001446,10018,0.9104483094271704,10,10
DGSSA001545,10021,0.9513513513513514,10,10
DGSSA001574,10023,0.9624486228885885,10,10
DGSSA001825,10028,0.8489254108723135,10,10
DGSSA001895,10032,0.8990757415648395,10,10
DGSSA001953,10034,0.8980891719745223,10,10
DGSSA002315,10034,0.9104942965779468,10,10
DGSSA002356,10034,1,10,10
DGSSA002414,10007,0.9096263487725581,10,10
DGSSA003155,10034,0.9166666666666666,10,10
DGSSA017120,10033,1,10,10
DGSSA017226,10033,1,10,10
DGSSA017242,10033,0.9066754633239369,10,10
DGSSA017254,10014,0.9925656355601767,10,10
DGSSA017271,10001,1,10,10
DGSSA017295,10013,0.9840552995391705,10,10
DGSSA017300,10020,0.9234330484330484,10,10
DGSSA017312,10039,0.9783971291866028,10,10
DGSSA017406,10017,0.7193548387096774,10,10
DGSSA017423,10033,0.625,10,10
DGSSA017546,10014,1,10,10
DGSSA017621,10034,1,10,10
DGSSA017645,10014,1,10,10
DGSSA017662,10034,0.9646877069079673,10,10
DGSSA017674,10014,0.9151048525985209,10,10
DGSSA017744,10014,1,10,10
DGSSA017761,10012,0.9151341616130348,10,10
DGSSA017790,10022,0.9465708483049523,10,10
DGSSA017826,10015,0.8793279022403259,10,10
DGSSA017872,10005,0.8178280165383303,10,10
GRIMO000171,12068,1,12,12
GRSSA000010,12001,0.9947761527225876,12,12
GRSSA000022,12001,0.9691491177702943,12,12
GRSSA000034,12001,0.9830179017441921,12,12
GRSSA000331,12040,1,12,12
GRSSA000652,12032,1,12,12
GRSSA001002,12004,0.9070631970260223,12,12
GRSSA001212,12007,0.8512810444684402,12,12
GRSSA001550,12011,0.8717371252882398,12,12
GRSSA001813,12012,0.7670515986916762,12,12
GRSSA002064,12051,1,12,12
GRSSA002204,12016,0.8,12,12
GRSSA002373,12018,1,12,12
GRSSA002863,12022,0.4310271826572953,12,12
GRSSA003283,12026,1,12,12
GRSSA003423,12028,0.9747648598855813,12,12
GRSSA003686,12029,0.9499499421205769,12,12
GRSSA003790,12029,0.7787610619469026,12,12
GRSSA004053,12032,1,12,12
GRSSA004065,12032,0.9569582871908453,12,12
GRSSA004123,12032,0.5,12,12
GRSSA004350,12034,0.8212621878261755,12,12
GRSSA004490,12035,0.9951222079904549,12,12
GRSSA004654,12032,1,12,12
GRSSA004753,12038,0.9333040099699436,12,12
GRSSA004992,12040,1,12,12
GRSSA005033,12040,0.8136576656996206,12,12
GRSSA005330,12040,1,12,12
GRSSA005762,12046,0.7672561473789632,12,12
GRSSA005931,12048,0.9719055920611506,12,12
GRSSA006066,21174,1,12,21
GRSSA006206,12051,0.921604938271605,12,12
GRSSA006322,12052,0.8688046647230321,12,12
GRSSA006334,12032,1,12,12
GRSSA006742,12055,0.9991412840329342,12,12
GRSSA007121,12057,0.976098791661134,12,12
GRSSA007606,12059,1,12,12
GRSSA007635,12061,0.6666666666666666,12,12
GRSSA007705,12059,1,12,12
GRSSA007734,12061,0.75,12,12
GRSSA007763,12061,0.9404591982382448,12,12
GRSSA008101,12066,0.8917025455094796,12,12
GRSSA008574,12053,1,12,12
GRSSA008644,12072,0.7880434782608695,12,12
GRSSA008830,12075,0.8571428571428571,12,12
GRSSA008883,12075,0.9770457185091331,12,12
GRSSA009904,12029,1,12,12
GRSSA009916,12066,0.4725284218528629,12,12
GRSSA009921,12029,0.8342808378198612,12,12
GRSSA009945,12001,0.9078304831574714,12,12
GRSSA009950,12029,0.935070514339891,12,12
GRSSA010056,12053,0.9730517115804806,12,12
GRSSA010061,12022,0.35470681610467075,12,12
GRSSA010102,12029,0.7419033383158944,12,12
GRSSA010341,12032,0.8,12,12
GRSSA011782,12001,0.30434782608695654,12,12
GRSSA011963,12058,0.94389721627409,12,12
GRSSA012120,12007,1,12,12
GRSSA012412,12033,0.8053097345132744,12,12
GRSSA012424,12021,0.973421926910299,12,12
GRSSA012511,12032,1,12,12
GRSSA012535,12055,0.9691911810435972,12,12
GTSSA000310,11003,0.9965820923766685,11,11
GTSSA000585,11005,0.9906023947406385,11,11
GTSSA000766,11007,0.9697924707008537,11,11
GTSSA001010,11009,0.9983049346640861,11,11
GTSSA001092,11010,0.8957247132429614,11,11
GTSSA001121,11011,0.9958186453083854,11,11
GTSSA001215,11012,0.9064503960769521,11,11
GTSSA001290,11014,0.9193799703464078,11,11
GTSSA001454,11015,0.9901396580450099,11,11
GTSSA001623,11016,0.9023558897243108,11,11
GTSSA001652,11017,0.9921691814417322,11,11
GTSSA001915,11019,0.9893801763291478,11,11
GTSSA002096,11020,0.9906780865733172,11,11
GTSSA002101,11020,0.9750122569877532,11,11
GTSSA002755,11023,0.9987626314704062,11,11
GTSSA002760,11023,0.9051592107137769,11,11
GTSSA003081,11025,0.9935626541315951,11,11
GTSSA003151,11026,0.9805520021240134,11,11
GTSSA003233,11027,0.9977443971967334,11,11
GTSSA003361,11028,0.9976804815397002,11,11
GTSSA003600,11030,0.9909758671738315,11,11
GTSSA003793,11031,0.9898675180552204,11,11
GTSSA004003,11033,0.989202376380763,11,11
GTSSA004184,11034,0.7414529914529915,11,11
GTSSA004423,11038,0.7808175088509817,11,11
GTSSA004580,11040,0.9886363636363636,11,11
GTSSA004650,11041,0.6508280425946454,11,11
GTSSA005432,11025,0.8926632625638269,11,11
GTSSA005502,11009,0.9788477034649476,11,11
GTSSA005531,11038,0.6644254278728606,11,11
GTSSA005560,11024,0.671028419546105,11,11
GTSSA005613,11020,0.9994092743920449,11,11
GTSSA005683,11020,0.9600542209673155,11,11
GTSSA006495,11028,0.9818888504507438,11,11
GTSSA016796,11020,0.29071042690604815,11,11
GTSSA016842,11035,0.9899091670025111,11,11
GTSSA016912,11032,0.8430215132033692,11,11
GTSSA016970,11039,0.9880826697682741,11,11
GTSSA016994,11044,0.9880674668815653,11,11
GTSSA017023,11037,0.9865929862549944,11,11
GTSSA017344,11001,0.9887540362988532,11,11
GTSSA017385,11042,0.9754057933674408,11,11
GTSSA017390,11008,0.9760100581059499,11,11
GTSSA017402,11004,0.9896003243416525,11,11
GTSSA017414,11002,0.9439966710991705,11,11
GTSSA017426,11018,0.9558840593163306,11,11
GTSSA017431,11046,0.9875157311855022,11,11
GTSSA017443,11021,0.7240334207077327,11,11
GTSSA017472,11033,0.863224115926315,11,11
GTSSA017484,11023,0.9985354851937553,11,11
GTSSA017496,11027,0.9987389101528795,11,11
GTSSA017501,11029,0.9971353121763229,11,11
GTSSA017525,11020,0.9420299868721067,11,11
GTSSA017530,11007,0.9113784387412569,11,11
GTSSA017542,11017,0.9522890350439737,11,11
GTSSA017553,11012,0.9518374018031317,11,11
GTSSA017580,11022,0.9146919431279621,11,11
HGIMO002043,30076,0.5,13,30
HGSSA000156,13003,0.9378464874696141,13,13
HGSSA000511,13011,0.5699126678561367,13,13
HGSSA001503,13029,0.6216006295414362,13,13
HGSSA001590,13030,0.6348728187703966,13,13
HGSSA001795,13031,0.5981605431694516,13,13
HGSSA002162,13041,0.5291797531224892,13,13
HGSSA002425,13048,0.5857034845189534,13,13
HGSSA002430,13048,0.5329206061529497,13,13
HGSSA002751,13053,0.6507032744458198,13,13
HGSSA003096,10023,0.5,13,10
HGSSA004093,13077,0.9648695402945964,13,13
HGSSA004991,13084,0.9,13,13
HGSSA005015,13048,0.35240963855421686,13,13
HGSSA015503,13073,0.6272176744469128,13,13
HGSSA015515,13008,0.5659288163889252,13,13
HGSSA015520,13028,0.5292410550290206,13,13
HGSSA015532,13076,0.5377298668357641,13,13
HGSSA015561,13027,0.983402489626556,13,13
HGSSA018000,13077,0.7973488230412907,13,13
JCSSA000165,14006,0.8216677419516172,14,14
JCSSA000503,14013,0.8954326640835976,14,14
JCSSA000631,14015,0.925346960666743,14,14
JCSSA000894,14018,0.5146781419476538,14,14
JCSSA001261,14022,0.989814644083274,14,14
JCSSA001326,14023,0.5921755540501307,14,14
JCSSA001401,14024,0.5091733663162235,14,14
JCSSA001454,14025,0.8807055609128898,14,14
JCSSA001891,14032,1,14,14
JCSSA001990,14035,0.9945268163567439,14,14
JCSSA002113,14037,0.8355668917647551,14,14
JCSSA002195,14039,0.472758513504179,14,14
JCSSA002200,14120,0.29780264774123105,14,14
JCSSA002212,14039,0.23903377863773903,14,14
JCSSA002224,14039,0.3981524567843786,14,14
JCSSA002562,14042,0.7621316224174667,14,14
JCSSA002632,14043,0.9291925023162996,14,14
JCSSA003250,14053,0.913638073600897,14,14
JCSSA003496,14055,0.5559003206545776,14,14
JCSSA003583,14058,0.9321975563586302,14,14
JCSSA003986,14064,0.7289996164313504,14,14
JCSSA004230,14067,0.9618758954292669,14,14
JCSSA004930,14082,0.7395569391153262,14,14
JCSSA005135,14085,0.9881239369962287,14,14
JCSSA005403,14090,0.6666666666666666,14,14
JCSSA005461,14091,0.9919244818025789,14,14
JCSSA005584,14093,0.7594186570527265,14,14
JCSSA006115,14100,0.9953527623319423,14,14
JCSSA006552,14108,0.5,14,14
JCSSA006610,14037,1,14,14
JCSSA006890,14118,0.777336157284651,14,14
JCSSA007042,14120,0.3703066904511165,14,14
JCSSA007066,14120,0.7732142074841064,14,14
JCSSA007836,14039,0.42074956910210926,14,14
JCSSA008075,14059,0.6421544105386027,14,14
JCSSA008080,14085,0.9496736154979996,14,14
JCSSA008401,14042,0.651403449442002,14,14
JCSSA008425,14022,0.9171249520399029,14,14
JCSSA008430,14053,0.8469610535953236,14,14
JCSSA008454,14064,0.7222782258064516,14,14
JCSSA008466,14120,0.5229151014274981,14,14
JCSSA009304,14098,0.46513773560036903,14,14
JCSSA009364,14050,0.7350334745625667,14,14
JCSSA009492,14065,0.9240506329113924,14,14
