bin,bin_order,bin_label_en,bin_label_es,side,horizon,spec,spec_label_en,spec_label_es,nobs,n_mun,mrate,estimate,se,p,pct,ci_low,ci_high,stars
-15_10,1,≤10 °C,≤10 °C,cold,13,home,"Discharged, not hospitalized",Alta sin hospitalización,2631155,661,45.2238,-0.154134,0.0156724,7.98e-23,-15.4134,-18.4852,-12.3416,***
-15_10,1,≤10 °C,≤10 °C,cold,13,hosp,Hospitalization or death,Hospitalización o muerte,2543592,661,6.83746,-0.0397045,0.0199858,0.047,-3.97045,-7.88766,-0.053231,**
-15_10,1,≤10 °C,≤10 °C,cold,14,home,"Discharged, not hospitalized",Alta sin hospitalización,2631155,661,45.2238,-0.159557,0.016279,1.11e-22,-15.9557,-19.1464,-12.765,***
-15_10,1,≤10 °C,≤10 °C,cold,14,hosp,Hospitalization or death,Hospitalización o muerte,2543592,661,6.83746,-0.0411763,0.0202224,0.0417,-4.11763,-8.08123,-0.154033,**
-15_10,1,≤10 °C,≤10 °C,cold,15,home,"Discharged, not hospitalized",Alta sin hospitalización,2631155,661,45.2238,-0.169024,0.0166545,3.35e-24,-16.9024,-20.1667,-13.6381,***
-15_10,1,≤10 °C,≤10 °C,cold,15,hosp,Hospitalization or death,Hospitalización o muerte,2543592,661,6.83746,-0.049648,0.0267405,0.0634,-4.9648,-10.2059,0.276339,*
-15_10,1,≤10 °C,≤10 °C,cold,16,home,"Discharged, not hospitalized",Alta sin hospitalización,2631155,661,45.2238,-0.170171,0.0165495,8.44e-25,-17.0171,-20.2608,-13.7734,***
-15_10,1,≤10 °C,≤10 °C,cold,16,hosp,Hospitalization or death,Hospitalización o muerte,2543592,661,6.83746,-0.0388089,0.0195766,0.0474,-3.88089,-7.71789,-0.0438828,**
-15_10,1,≤10 °C,≤10 °C,cold,17,home,"Discharged, not hospitalized",Alta sin hospitalización,2631155,661,45.2238,-0.164982,0.017225,9.89e-22,-16.4982,-19.8743,-13.1221,***
-15_10,1,≤10 °C,≤10 °C,cold,17,hosp,Hospitalization or death,Hospitalización o muerte,2543592,661,6.83746,-0.0498297,0.0223319,0.0257,-4.98297,-9.36002,-0.605917,**
-15_10,1,≤10 °C,≤10 °C,cold,18,home,"Discharged, not hospitalized",Alta sin hospitalización,2631155,661,45.2238,-0.16681000000000001,0.018121,3.41e-20,-16.681,-20.2327,-13.1292,***
-15_10,1,≤10 °C,≤10 °C,cold,18,hosp,Hospitalization or death,Hospitalización o muerte,2543592,661,6.83746,-0.0742183,0.0273849,0.00672,-7.42183,-12.7893,-2.05438,***
-15_10,1,≤10 °C,≤10 °C,cold,19,home,"Discharged, not hospitalized",Alta sin hospitalización,2631155,661,45.2238,-0.162699,0.018635,2.53e-18,-16.2699,-19.9224,-12.6174,***
-15_10,1,≤10 °C,≤10 °C,cold,19,hosp,Hospitalization or death,Hospitalización o muerte,2543592,661,6.83746,-0.0531199,0.022354,0.0175,-5.31199,-9.69336,-0.930611,**
-15_10,1,≤10 °C,≤10 °C,cold,20,home,"Discharged, not hospitalized",Alta sin hospitalización,2631155,661,45.2238,-0.160367,0.0183245,2.11e-18,-16.0367,-19.6283,-12.4451,***
-15_10,1,≤10 °C,≤10 °C,cold,20,hosp,Hospitalization or death,Hospitalización o muerte,2543592,661,6.83746,-0.0483658,0.0232944,0.0379,-4.83658,-9.40229,-0.270877,**
-15_10,1,≤10 °C,≤10 °C,cold,21,home,"Discharged, not hospitalized",Alta sin hospitalización,2631155,661,45.2238,-0.166731,0.0184603,1.69e-19,-16.6731,-20.2914,-13.0549,***
-15_10,1,≤10 °C,≤10 °C,cold,21,hosp,Hospitalization or death,Hospitalización o muerte,2543592,661,6.83746,-0.0555731,0.0236437,0.0188,-5.55731,-10.1915,-0.923148,**
-15_10,1,≤10 °C,≤10 °C,cold,22,home,"Discharged, not hospitalized",Alta sin hospitalización,2631155,661,45.2238,-0.163464,0.0189304,5.87e-18,-16.3464,-20.0567,-12.636,***
-15_10,1,≤10 °C,≤10 °C,cold,22,hosp,Hospitalization or death,Hospitalización o muerte,2543592,661,6.83746,-0.0571576,0.025601,0.0256,-5.71576,-10.7336,-0.697958,**
