bin,bin_order,bin_label_en,bin_label_es,side,horizon,spec,group_order,group_label_en,group_label_es,estimate,se,p,pct,ci_low,ci_high,stars
-15_10,1,≤10 °C,≤10 °C,cold,17,female,1,Women,Mujeres,-0.146859,0.0166697,1.25e-18,-14.6859,-17.9532,-11.4187,***
-15_10,1,≤10 °C,≤10 °C,cold,17,male,2,Men,Hombres,-0.154885,0.0177185,2.3e-18,-15.4885,-18.9613,-12.0156,***
-15_10,1,≤10 °C,≤10 °C,cold,18,female,1,Women,Mujeres,-0.154066,0.0185491,9.91e-17,-15.4066,-19.0422,-11.771,***
-15_10,1,≤10 °C,≤10 °C,cold,18,male,2,Men,Hombres,-0.157666,0.0184065,1.07e-17,-15.7666,-19.3742,-12.1589,***
-15_10,1,≤10 °C,≤10 °C,cold,19,female,1,Women,Mujeres,-0.145813,0.018719,6.72e-15,-14.5813,-18.2502,-10.9124,***
-15_10,1,≤10 °C,≤10 °C,cold,19,male,2,Men,Hombres,-0.154177,0.0179955,1.06e-17,-15.4177,-18.9448,-11.8906,***
-15_10,1,≤10 °C,≤10 °C,cold,20,female,1,Women,Mujeres,-0.143725,0.018172,2.59e-15,-14.3725,-17.9342,-10.8108,***
-15_10,1,≤10 °C,≤10 °C,cold,20,male,2,Men,Hombres,-0.150578,0.0181432,1.05e-16,-15.0578,-18.6138,-11.5017,***
-15_10,1,≤10 °C,≤10 °C,cold,21,female,1,Women,Mujeres,-0.149812,0.0175043,1.14e-17,-14.9812,-18.4121,-11.5504,***
-15_10,1,≤10 °C,≤10 °C,cold,21,male,2,Men,Hombres,-0.156699,0.0185135,2.58e-17,-15.6699,-19.2985,-12.0412,***
-15_10,1,≤10 °C,≤10 °C,cold,22,female,1,Women,Mujeres,-0.151653,0.0178975,2.38e-17,-15.1653,-18.6732,-11.6574,***
-15_10,1,≤10 °C,≤10 °C,cold,22,male,2,Men,Hombres,-0.14549,0.0184931,3.62e-15,-14.549,-18.1736,-10.9243,***
-15_10,1,≤10 °C,≤10 °C,cold,23,female,1,Women,Mujeres,-0.158044,0.0188842,5.8e-17,-15.8044,-19.5057,-12.1031,***
-15_10,1,≤10 °C,≤10 °C,cold,23,male,2,Men,Hombres,-0.149772,0.0185361,6.48e-16,-14.9772,-18.6103,-11.3441,***
-15_10,1,≤10 °C,≤10 °C,cold,24,female,1,Women,Mujeres,-0.152182,0.0180583,3.54e-17,-15.2182,-18.7576,-11.6788,***
-15_10,1,≤10 °C,≤10 °C,cold,24,male,2,Men,Hombres,-0.144028,0.0188797,2.37e-14,-14.4028,-18.1032,-10.7023,***
-15_10,1,≤10 °C,≤10 °C,cold,25,female,1,Women,Mujeres,-0.156757,0.0186751,4.7e-17,-15.6757,-19.336,-12.0154,***
-15_10,1,≤10 °C,≤10 °C,cold,25,male,2,Men,Hombres,-0.145809,0.0193363,4.67e-14,-14.5809,-18.3708,-10.791,***
-15_10,1,≤10 °C,≤10 °C,cold,26,female,1,Women,Mujeres,-0.167757,0.0194804,7.2e-18,-16.7757,-20.5939,-12.9576,***
-15_10,1,≤10 °C,≤10 °C,cold,26,male,2,Men,Hombres,-0.151174,0.0200418,4.59e-14,-15.1174,-19.0456,-11.1892,***
-15_10,1,≤10 °C,≤10 °C,cold,27,female,1,Women,Mujeres,-0.166726,0.019597,1.77e-17,-16.6726,-20.5136,-12.8316,***
-15_10,1,≤10 °C,≤10 °C,cold,27,male,2,Men,Hombres,-0.15364,0.0190893,8.38e-16,-15.364,-19.1055,-11.6225,***
-15_10,1,≤10 °C,≤10 °C,cold,28,female,1,Women,Mujeres,-0.174327,0.0209865,9.84e-17,-17.4327,-21.5461,-13.3194,***
-15_10,1,≤10 °C,≤10 °C,cold,28,male,2,Men,Hombres,-0.155868,0.0195134,1.37e-15,-15.5868,-19.4115,-11.7622,***
-15_10,1,≤10 °C,≤10 °C,cold,29,female,1,Women,Mujeres,-0.181313,0.0205158,9.77e-19,-18.1313,-22.1524,-14.1103,***
-15_10,1,≤10 °C,≤10 °C,cold,29,male,2,Men,Hombres,-0.156635,0.0194402,7.8e-16,-15.6635,-19.4738,-11.8532,***
-15_10,1,≤10 °C,≤10 °C,cold,30,female,1,Women,Mujeres,-0.168273,0.0211978,2.05e-15,-16.8273,-20.982,-12.6725,***
-15_10,1,≤10 °C,≤10 °C,cold,30,male,2,Men,Hombres,-0.145642,0.0199544,2.9e-13,-14.5642,-18.4753,-10.6531,***
10_15,2,10–15 °C,10–15 °C,cold,0,female,1,Women,Mujeres,-0.0493597,0.00236933,2.1899999999999994e-96,-4.93597,-5.40036,-4.47158,***
10_15,2,10–15 °C,10–15 °C,cold,0,male,2,Men,Hombres,-0.0609906,0.00320947,1.5999999999999998e-80,-6.09906,-6.72811,-5.47,***
10_15,2,10–15 °C,10–15 °C,cold,1,female,1,Women,Mujeres,-0.0650988,0.00275658,2.66e-123,-6.50988,-7.05017,-5.96959,***
10_15,2,10–15 °C,10–15 °C,cold,1,male,2,Men,Hombres,-0.0845703,0.00351453,6.089999999999998e-128,-8.45703,-9.14587,-7.76818,***
10_15,2,10–15 °C,10–15 °C,cold,2,female,1,Women,Mujeres,-0.066877,0.00332347,4.669999999999999e-90,-6.6877,-7.3391,-6.0363,***
10_15,2,10–15 °C,10–15 °C,cold,2,male,2,Men,Hombres,-0.0881245,0.00415956,1.2799999999999997e-99,-8.81245,-9.62772,-7.99717,***
10_15,2,10–15 °C,10–15 °C,cold,3,female,1,Women,Mujeres,-0.0765042,0.00348712,1.0999999999999997e-106,-7.6504200000000004,-8.33389,-6.96694,***
10_15,2,10–15 °C,10–15 °C,cold,3,male,2,Men,Hombres,-0.0932576,0.00473968,3.4699999999999994e-86,-9.32576,-10.2547,-8.39678,***
10_15,2,10–15 °C,10–15 °C,cold,4,female,1,Women,Mujeres,-0.0802816,0.00416784,1.1199999999999997e-82,-8.02816,-8.84506,-7.21126,***
10_15,2,10–15 °C,10–15 °C,cold,4,male,2,Men,Hombres,-0.099256,0.00536538,2.0899999999999995e-76,-9.9256,-10.9772,-8.87399,***
10_15,2,10–15 °C,10–15 °C,cold,5,female,1,Women,Mujeres,-0.0778264,0.0038384,2.11e-91,-7.78264,-8.53496,-7.03031,***
10_15,2,10–15 °C,10–15 °C,cold,5,male,2,Men,Hombres,-0.0901999,0.00522951,1.1499999999999998e-66,-9.01999,-10.045,-7.99501,***
10_15,2,10–15 °C,10–15 °C,cold,6,female,1,Women,Mujeres,-0.0836387,0.00498492,3.5199999999999994e-63,-8.36387,-9.34092,-7.38683,***
10_15,2,10–15 °C,10–15 °C,cold,6,male,2,Men,Hombres,-0.0928441,0.00626903,1.26e-49,-9.28441,-10.5131,-8.05568,***
10_15,2,10–15 °C,10–15 °C,cold,7,female,1,Women,Mujeres,-0.0799453,0.00517627,8.209999999999999e-54,-7.99453,-9.00908,-6.97998,***
10_15,2,10–15 °C,10–15 °C,cold,7,male,2,Men,Hombres,-0.089202,0.00638156,2.1200000000000001e-44,-8.9202,-10.171,-7.66941,***
10_15,2,10–15 °C,10–15 °C,cold,8,female,1,Women,Mujeres,-0.0847042,0.00557005,3.1699999999999997e-52,-8.47042,-9.56215,-7.37869,***
10_15,2,10–15 °C,10–15 °C,cold,8,male,2,Men,Hombres,-0.0893074,0.00662552,2.07e-41,-8.93074,-10.2293,-7.63214,***
10_15,2,10–15 °C,10–15 °C,cold,9,female,1,Women,Mujeres,-0.0853096,0.0056948,9.88e-51,-8.53096,-9.64714,-7.41478,***
10_15,2,10–15 °C,10–15 °C,cold,9,male,2,Men,Hombres,-0.0923414,0.00649084,6.28e-46,-9.23414,-10.5063,-7.96193,***
10_15,2,10–15 °C,10–15 °C,cold,10,female,1,Women,Mujeres,-0.0827665,0.00626276,7.13e-40,-8.27665,-9.50415,-7.04915,***
10_15,2,10–15 °C,10–15 °C,cold,10,male,2,Men,Hombres,-0.0835352,0.00704136,1.8299999999999998e-32,-8.35352,-9.73362,-6.97341,***
10_15,2,10–15 °C,10–15 °C,cold,11,female,1,Women,Mujeres,-0.0827082,0.00627513,1.14e-39,-8.27082,-9.50074,-7.04089,***
10_15,2,10–15 °C,10–15 °C,cold,11,male,2,Men,Hombres,-0.0838813,0.0073268,2.39e-30,-8.38813,-9.82419,-6.95208,***
10_15,2,10–15 °C,10–15 °C,cold,12,female,1,Women,Mujeres,-0.080715,0.00651966,3.34e-35,-8.0715,-9.34935,-6.79365,***
10_15,2,10–15 °C,10–15 °C,cold,12,male,2,Men,Hombres,-0.08096,0.00731186,1.71e-28,-8.096,-9.52912,-6.66287,***
10_15,2,10–15 °C,10–15 °C,cold,13,female,1,Women,Mujeres,-0.0826364,0.0070971,2.47e-31,-8.26364,-9.65467,-6.87261,***
10_15,2,10–15 °C,10–15 °C,cold,13,male,2,Men,Hombres,-0.0816706,0.00829016,6.749999999999999e-23,-8.16706,-9.79193,-6.54219,***
10_15,2,10–15 °C,10–15 °C,cold,14,female,1,Women,Mujeres,-0.0892133,0.00780537,2.9699999999999998e-30,-8.92133,-10.4512,-7.39147,***
